127.0.0.1 - - [06/Feb/2023:14:57:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:57:24 +0900] "GET /web01/myproject/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:57:24 +0900] "GET /web01/images/samsung.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:57:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Feb/2023:14:57:29 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:47:35 +0900] "GET /web01/ch03/textarea.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:47:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:48:03 +0900] "POST /web01/ch03/getfeedback.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:49:22 +0900] "GET /web01/ch03/textarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:49:37 +0900] "POST /web01/ch03/getfeedback.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:50:54 +0900] "GET /web01/ch03/textarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:51:12 +0900] "POST /web01/ch03/getfeedback.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:51:47 +0900] "GET /web01/ch03/textarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:51:55 +0900] "POST /web01/ch03/getfeedback.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:51:55 +0900] "POST /web01/ch03/getfeedback.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:52:47 +0900] "GET /web01/ch03/textarea.html HTTP/1.1" 304 -
