127.0.0.1 - - [10/Feb/2023:13:38:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /web01/TV/NEOQLED4K.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /web01/TV/QLED8K.jpg HTTP/1.1" 200 51041
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /web01/TV/NEOQLED8K.jpg HTTP/1.1" 200 674087
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /web01/TV/QLED4K.jpg HTTP/1.1" 200 646664
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Feb/2023:13:57:55 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:02:08 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:02:15 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:02:28 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:02:40 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:02:52 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:08 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 200 4586
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/myproject/mobile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/mobile/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/mobile/tabs8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/mobile/buds2pro.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/mobile/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:24 +0900] "GET /web01/myproject/TV.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:25 +0900] "GET /web01/myproject/kitchen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:25 +0900] "GET /web01/include/kitchen_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:26 +0900] "GET /web01/myproject/household.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:26 +0900] "GET /web01/include/computer_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2023:14:03:27 +0900] "GET /web01/myproject/computer_else.html HTTP/1.1" 304 -
