127.0.0.1 - - [03/Apr/2023:16:46:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/hyehwaPC/hamburger.jsp HTTP/1.1" 200 3878
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/include/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/include/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/include/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/burger/burgerpark.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/burger/crush.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /jsp02/burger/hyehwa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/hyehwaStyle/index2_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/picture/station1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/rice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/soup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/seafood.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/meat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/snack.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/noodle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/pizza.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/burger.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/france.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:16:46:51 +0900] "GET /jsp02/food/steak3.jpg HTTP/1.1" 304 -
