127.0.0.1 - - [03/Mar/2023:14:14:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/Index.jsp HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/include/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/western.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/korean.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/burger.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/buffet.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/chinese.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:14:21 +0900] "GET /jsp01/hyehwajsp/images/pizza.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:15:06 +0900] "GET /jsp01/hyehwajsp/Index.jsp HTTP/1.1" 500 2588
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:15:08 +0900] "GET /jsp01/hyehwajsp/Index.jsp HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:15:08 +0900] "GET /jsp01/hyehwajsp/images/western.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:15:08 +0900] "GET /jsp01/hyehwajsp/images/korean.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:15:08 +0900] "GET /jsp01/hyehwajsp/images/burger.jpg HTTP/1.1" 404 852
