127.0.0.1 - - [30/Mar/2023:19:30:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:30:34 +0900] "GET /jsp02/hyehwamobile/Index.jsp HTTP/1.1" 200 2210
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:06 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6513
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:06 +0900] "GET /jsp02/include/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:06 +0900] "GET /jsp02/include/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:21 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:32 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6518
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:31:41 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6532
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:34:23 +0900] "GET /jsp02/hyehwaPC/snack.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:34:26 +0900] "GET /jsp02/hyehwaPC/snack2.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:35:08 +0900] "GET /jsp02/hyehwaPC/snack.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:35:11 +0900] "GET /jsp02/hyehwaPC/snack2.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/hyehwaStyle/index2_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/picture/station1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/food/china2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/food/steak3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/food/rice2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:19:36:20 +0900] "GET /jsp02/food/sake.jpg HTTP/1.1" 304 -
