127.0.0.1 - - [19/Apr/2023:15:27:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:27:57 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:27:57 +0900] "GET /jsp02/include/jquery-3.6.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:27:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:27:59 +0900] "GET /jsp02/hyehwa/login.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:02 +0900] "POST /jsp02/hyehwa_servlet/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:02 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8617
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:05 +0900] "GET /jsp02/hyehwa_servlet/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:05 +0900] "GET /jsp02/hyehwa/login.jsp?message=logout HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:08 +0900] "POST /jsp02/hyehwa_servlet/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:28:08 +0900] "GET /jsp02/hyehwaPC/Index2.jsp?message=error HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6534
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/samchung.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/dodam2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/chosun4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/ogane1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/arirang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/solnamu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:39 +0900] "GET /jsp02/korea/solsott.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:33:59 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:34:05 +0900] "GET /jsp02/hyehwaPC/joinhyehwa.jsp HTTP/1.1" 200 4530
0:0:0:0:0:0:0:1 - - [19/Apr/2023:15:34:05 +0900] "POST /jsp02/hyehwa_servlet/list.do HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:24:55 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:03 +0900] "GET /jsp02/hyehwa/login.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:04 +0900] "GET /jsp02/hyehwaPC/Index2.jsp HTTP/1.1" 200 8660
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:04 +0900] "GET /jsp02/hyehwaPC/rice.jsp HTTP/1.1" 200 6534
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/hyehwaPC/samchung.jsp HTTP/1.1" 200 3299
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/resturant/samchung1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/resturant/samchung2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/resturant/samchung3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/resturant/samchung4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:25:10 +0900] "GET /jsp02/resturant/samchung5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:35:08 +0900] "GET /jsp02/guestbook/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:35:09 +0900] "GET /jsp02/guestbook_servlet/list.do HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:35:11 +0900] "GET /jsp02/guestbook/write.jsp HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [19/Apr/2023:16:35:15 +0900] "GET /jsp02/guestbook_servlet/list.do HTTP/1.1" 200 2384
